research_id,response_id,respondent_id,object,original_response,cleaned_response,original_translated,translated_response,utility_rater02
NAT202402,19729,333,brick,garden border,garden border,,garden border,
NAT202402,19749,334,brick,garden border,garden border,,garden border,
NAT202402,19761,334,brick,decorative garden accent,decorative garden accent,,decorative garden accent,
NAT202402,19769,335,brick,garden border,garden border,,garden border,
NAT202402,19781,335,brick,decorative garden accent,decorative garden accent,,decorative garden accent,
NAT202402,19789,336,brick,garden border,garden border,,garden border,
NAT202402,19809,337,brick,garden border,garden border,,garden border,
NAT202402,19829,338,brick,garden border,garden border,,garden border,
NAT202402,19849,339,brick,garden border,garden border,,garden border,
NAT202402,19869,340,brick,garden border,garden border,,garden border,
NAT202402,19889,341,brick,garden border,garden border,,garden border,
NAT202402,19909,342,brick,garden border,garden border,,garden border,
NAT202402,19929,343,brick,garden border,garden border,,garden border,
NAT202402,19949,344,brick,garden border,garden border,,garden border,
NAT202402,19969,345,brick,garden border,garden border,,garden border,
NAT202402,19990,346,brick,garden border,garden border,,garden border,
NAT202402,20009,347,brick,garden border,garden border,,garden border,
NAT202402,20029,348,brick,garden border,garden border,,garden border,
NAT202402,20049,349,brick,garden border,garden border,,garden border,
NAT202402,20070,350,brick,garden border,garden border,,garden border,
NAT202402,20089,351,brick,garden border,garden border,,garden border,
NAT202402,20109,352,brick,garden border,garden border,,garden border,
NAT202402,20129,353,brick,garden border,garden border,,garden border,
NAT202402,20149,354,brick,garden border,garden border,,garden border,
NAT202402,20169,355,brick,garden border,garden border,,garden border,
NAT202402,20189,356,brick,garden border,garden border,,garden border,
NAT202402,20209,357,brick,garden border,garden border,,garden border,
NAT202402,20222,357,brick,decorative garden accent,decorative garden accent,,decorative garden accent,
NAT202402,20229,358,brick,garden border,garden border,,garden border,
NAT202402,20249,359,brick,garden border,garden border,,garden border,
NAT202402,20269,360,brick,garden border,garden border,,garden border,
NAT202402,20289,361,brick,garden border,garden border,,garden border,
NAT202402,20309,362,brick,garden border,garden border,,garden border,
NAT202402,20329,363,brick,garden border,garden border,,garden border,
NAT202402,20349,364,brick,garden border,garden border,,garden border,
NAT202402,20362,364,brick,decorative garden accent,decorative garden accent,,decorative garden accent,
NAT202402,20369,365,brick,garden border,garden border,,garden border,
NAT202402,20389,366,brick,garden border,garden border,,garden border,
NAT202402,20411,367,brick,garden border,garden border,,garden border,
NAT202402,20429,368,brick,garden border,garden border,,garden border,
NAT202402,20449,369,brick,garden border,garden border,,garden border,
NAT202402,20458,369,brick,decorative garden path,decorative garden path,,decorative garden path,
NAT202402,20469,370,brick,garden border,garden border,,garden border,
NAT202402,20491,371,brick,garden border,garden border,,garden border,
NAT202402,20509,372,brick,garden border,garden border,,garden border,
NAT202402,20521,372,brick,decorative garden feature,decorative garden feature,,decorative garden feature,
NAT202402,20531,373,brick,rustic garden border,rustic garden border,,rustic garden border,
NAT202402,20549,374,brick,garden border,garden border,,garden border,
NAT202402,20569,375,brick,garden edging,garden edging,,garden edging,
NAT202402,20589,376,brick,garden border,garden border,,garden border,
NAT202402,20609,377,brick,garden border,garden border,,garden border,
NAT202402,20628,378,brick,garden border,garden border,,garden border,
NAT202402,20649,379,brick,garden border,garden border,,garden border,
NAT202402,20659,379,brick,decorative garden accent,decorative garden accent,,decorative garden accent,
NAT202402,20669,380,brick,garden border,garden border,,garden border,
NAT202402,20692,381,brick,garden border,garden border,,garden border,
NAT202402,20709,382,brick,garden border,garden border,,garden border,
NAT202402,20726,383,brick,garden border,garden border,,garden border,
NAT202402,20731,383,brick,garden path,garden path,,garden path,
NAT202402,20749,384,brick,garden border,garden border,,garden border,
NAT202402,20769,385,brick,garden border,garden border,,garden border,
NAT202402,20787,276,brick,garden path,garden path,,garden path,
NAT202402,20807,277,brick,garden path,garden path,,garden path,
NAT202402,20827,278,brick,garden path,garden path,,garden path,
NAT202402,20847,279,brick,garden path,garden path,,garden path,
NAT202402,20867,280,brick,garden path,garden path,,garden path,
NAT202402,20887,281,brick,garden path,garden path,,garden path,
NAT202402,20907,282,brick,garden path,garden path,,garden path,
NAT202402,20927,283,brick,garden path,garden path,,garden path,
NAT202402,20947,284,brick,garden path,garden path,,garden path,
NAT202402,20967,285,brick,garden path,garden path,,garden path,
NAT202402,20985,286,brick,garden path,garden path,,garden path,
NAT202402,21005,287,brick,garden path,garden path,,garden path,
NAT202402,21025,288,brick,garden path,garden path,,garden path,
NAT202402,21045,289,brick,garden path,garden path,,garden path,
NAT202402,21065,290,brick,garden path,garden path,,garden path,
NAT202402,21085,291,brick,garden path,garden path,,garden path,
NAT202402,21105,292,brick,garden path,garden path,,garden path,
NAT202402,21127,293,brick,garden path,garden path,,garden path,
NAT202402,21145,294,brick,garden path,garden path,,garden path,
NAT202402,21165,295,brick,garden path,garden path,,garden path,
NAT202402,21185,296,brick,garden path,garden path,,garden path,
NAT202402,21205,297,brick,garden path,garden path,,garden path,
NAT202402,21225,298,brick,garden path,garden path,,garden path,
NAT202402,21245,299,brick,garden path,garden path,,garden path,
NAT202402,21251,299,brick,flower bed edging,flower bed edging,,flower bed edging,
NAT202402,21265,300,brick,garden path,garden path,,garden path,
NAT202402,21285,301,brick,garden path,garden path,,garden path,
NAT202402,21306,302,brick,garden path,garden path,,garden path,
NAT202402,21311,302,brick,raised garden bed,raised garden bed,,raised garden bed,
NAT202402,21326,303,brick,garden path,garden path,,garden path,
NAT202402,21345,304,brick,garden path,garden path,,garden path,
NAT202402,21365,305,brick,garden path,garden path,,garden path,
NAT202402,21371,305,brick,flower bed edging,flower bed edging,,flower bed edging,
NAT202402,21385,306,brick,garden path,garden path,,garden path,
NAT202402,21405,307,brick,garden path,garden path,,garden path,
NAT202402,21425,308,brick,garden path,garden path,,garden path,
NAT202402,21446,309,brick,garden path,garden path,,garden path,
NAT202402,21466,310,brick,garden path,garden path,,garden path,
NAT202402,21485,311,brick,garden path,garden path,,garden path,
NAT202402,21506,312,brick,garden path,garden path,,garden path,
NAT202402,21525,313,brick,garden path,garden path,,garden path,
NAT202402,21545,314,brick,garden path,garden path,,garden path,
NAT202402,21565,315,brick,garden path,garden path,,garden path,
NAT202402,21585,316,brick,garden path,garden path,,garden path,
NAT202402,21605,317,brick,path edging,path edging,,path edging,
NAT202402,21621,317,brick,garden border,garden border,,garden border,
NAT202402,21625,318,brick,garden path,garden path,,garden path,
NAT202402,21637,318,brick,raised garden bed,raised garden bed,,raised garden bed,
NAT202402,21645,319,brick,garden path,garden path,,garden path,
NAT202402,21657,319,brick,raised garden bed,raised garden bed,,raised garden bed,
NAT202402,21665,320,brick,garden path,garden path,,garden path,
NAT202402,21677,320,brick,raised garden bed,raised garden bed,,raised garden bed,
NAT202402,21685,321,brick,path,path,,path,
NAT202402,21698,321,brick,edging,edging,,edging,
NAT202402,21722,322,brick,garden edging,garden edging,,garden edging,
NAT202402,21745,324,brick,garden edging,garden edging,,garden edging,
NAT202402,21765,325,brick,garden edging,garden edging,,garden edging,
NAT202402,21789,326,brick,garden path,garden path,,garden path,
NAT202402,21809,327,brick,garden edging,garden edging,,garden edging,
NAT202402,21810,327,brick,pathways,pathways,,pathways,
NAT202402,21829,328,brick,garden edging,garden edging,,garden edging,
NAT202402,21830,328,brick,pathways,pathways,,pathways,
NAT202402,21847,329,brick,garden edging,garden edging,,garden edging,
NAT202402,21848,329,brick,path,path,,path,
NAT202402,21868,330,brick,garden edging,garden edging,,garden edging,
NAT202402,21887,386,brick,garden path,garden path,,garden path,
NAT202402,21907,387,brick,garden path,garden path,,garden path,
NAT202402,21947,389,brick,garden path,garden path,,garden path,
NAT202402,21985,391,brick,brick path,path,,path,
NAT202402,21997,391,brick,brick edging,edging,,edging,
NAT202402,22005,392,brick,brick path,path,,path,
NAT202402,22026,393,brick,path,path,,path,
NAT202402,22047,394,brick,pathway,pathway,,pathway,
NAT202402,22067,395,brick,garden path,garden path,,garden path,
NAT202402,22087,396,brick,garden path,garden path,,garden path,
NAT202402,22132,398,brick,brick edging,edging,,edging,
NAT202402,22142,398,brick,brick garden path,garden path,,garden path,
NAT202402,22146,399,brick,a garden path,garden path,,garden path,
NAT202402,22167,400,brick,pathway,pathway,,pathway,
NAT202402,22215,402,brick,brick garden edging,garden edging,,garden edging,
NAT202402,22218,402,brick,brick path,path,,path,
NAT202402,22246,404,brick,path,path,,path,
NAT202402,22265,405,brick,path,path,,path,
NAT202402,22277,405,brick,garden edging,garden edging,,garden edging,
NAT202402,22287,406,brick,garden path,garden path,,garden path,
NAT202402,22367,410,brick,garden path,garden path,,garden path,
NAT202402,22406,412,brick,pathway,pathway,,pathway,
NAT202402,22407,412,brick,garden edging,garden edging,,garden edging,
NAT202402,22453,414,brick,brick path,path,,path,
NAT202402,22466,415,brick,a brick in the garden,garden,,garden,
NAT202402,22500,416,brick,edging,edging,,edging,
NAT202402,22506,417,brick,garden path,garden path,,garden path,
NAT202402,22520,417,brick,pathway edging,pathway edging,,pathway edging,
NAT202402,22526,418,brick,path,path,,path,
NAT202402,22559,419,brick,garden edging,garden edging,,garden edging,
NAT202402,22560,419,brick,edging,edging,,edging,
NAT202402,22562,419,brick,raised bed,raised bed,,raised bed,
NAT202402,22570,420,brick,path,path,,path,
NAT202402,22572,420,brick,edging,edging,,edging,
NAT202402,22638,423,brick,garden decoration,garden decoration,,garden decoration,
NAT202402,22646,424,brick,garden path,garden path,,garden path,
NAT202402,22673,425,brick,brick garden edging,garden edging,,garden edging,
NAT202402,22688,426,brick,garden path,garden path,,garden path,
NAT202402,22704,427,brick,brick path,path,,path,
NAT202402,22724,428,brick,patio edging,patio edging,,patio edging,
NAT202402,22730,428,brick,garden wall,garden wall,,garden wall,
NAT202402,22733,428,brick,edging for flowerbeds,edging flowerbeds,,edging flowerbeds,
NAT202402,22734,428,brick,raised beds for vegetables,raised beds vegetables,,raised beds vegetables,
NAT202402,22735,428,brick,garden edging,garden edging,,garden edging,
NAT202402,22738,428,brick,edging for a path,edging path,,edging path,
NAT202402,22741,428,brick,raised vegetable garden,raised vegetable garden,,raised vegetable garden,
NAT202402,22742,428,brick,edging for a patio,edging patio,,edging patio,
NAT202402,22745,429,brick,pathway,pathway,,pathway,
NAT202402,22751,429,brick,garden edging,garden edging,,garden edging,
NAT202402,22752,429,brick,raised beds,raised beds,,raised beds,
NAT202402,22765,430,brick,garden path,garden path,,garden path,
NAT202402,22804,432,brick,garden path,garden path,,garden path,
NAT202402,22815,432,brick,walkway edging,walkway edging,,walkway edging,
NAT202402,22816,432,brick,raised garden bed,raised garden bed,,raised garden bed,
NAT202402,22826,433,brick,garden path,garden path,,garden path,
NAT202402,22866,435,brick,path,path,,path,
NAT202402,22905,437,brick,garden path edging,garden path edging,,garden path edging,
NAT202402,22907,437,brick,raised bed edging,raised bed edging,,raised bed edging,
NAT202402,22917,437,brick,play area edging,play area edging,,play area edging,
NAT202402,22921,437,brick,garden sculpture,garden sculpture,,garden sculpture,
NAT202402,22951,439,brick,creating garden paths,creating garden paths,,creating garden paths,
NAT202402,22956,439,brick,making raised garden beds,making raised garden beds,,making raised garden beds,
NAT202402,22957,439,brick,constructing walls for planting,constructing walls planting,,constructing walls planting,
NAT202402,23002,441,brick,landscaping,landscaping,,landscaping,
NAT202402,23022,442,brick,landscaping,landscaping,,landscaping,
NAT202402,23042,443,brick,landscaping,landscaping,,landscaping,
NAT202402,23062,444,brick,landscaping,landscaping,,landscaping,
NAT202402,23115,447,brick,pathway,pathway,,pathway,
NAT202402,23116,447,brick,edging,edging,,edging,
NAT202402,23117,447,brick,garden,garden,,garden,
NAT202402,23128,448,brick,garden edging,garden edging,,garden edging,
NAT202402,23130,448,brick,pathway material,pathway material,,pathway material,
NAT202402,23173,450,brick,garden,garden,,garden,
NAT202402,23174,450,brick,edging,edging,,edging,
NAT202402,23175,450,brick,pathway,pathway,,pathway,
NAT202402,23189,451,brick,garden edging,garden edging,,garden edging,
NAT202402,23190,451,brick,pathway material,pathway material,,pathway material,
NAT202402,23231,453,brick,edging,edging,,edging,
NAT202402,23232,453,brick,pathway,pathway,,pathway,
NAT202402,23246,454,brick,pathway material,pathway material,,pathway material,
NAT202402,23248,454,brick,garden border,garden border,,garden border,
NAT202402,23264,455,brick,garden edging,garden edging,,garden edging,
NAT202402,23270,455,brick,pathway material,pathway material,,pathway material,
NAT202402,23285,456,brick,pathway material,pathway material,,pathway material,
NAT202402,23286,456,brick,garden border,garden border,,garden border,
NAT202402,23304,457,brick,pathway material,pathway material,,pathway material,
NAT202402,23305,457,brick,garden border,garden border,,garden border,
NAT202402,23343,459,brick,garden edging,garden edging,,garden edging,
NAT202402,23350,459,brick,pathway material,pathway material,,pathway material,
NAT202402,23356,459,brick,garden statue,garden statue,,garden statue,
NAT202402,23358,459,brick,garden border,garden border,,garden border,
NAT202402,23368,460,brick,pathway material,pathway material,,pathway material,
NAT202402,23369,460,brick,garden edging,garden edging,,garden edging,
NAT202402,23382,461,brick,garden border,garden border,,garden border,
NAT202402,23388,461,brick,garden path,garden path,,garden path,
NAT202402,23402,462,brick,garden border,garden border,,garden border,
NAT202402,23407,462,brick,garden path,garden path,,garden path,
NAT202402,23411,462,brick,raised bed,raised bed,,raised bed,
NAT202402,23429,463,brick,garden edging,garden edging,,garden edging,
NAT202402,23430,463,brick,pathway material,pathway material,,pathway material,
NAT202402,23445,464,brick,garden border,garden border,,garden border,
NAT202402,23446,464,brick,pathway material,pathway material,,pathway material,
NAT202402,23458,465,brick,garden border,garden border,,garden border,
NAT202402,23471,465,brick,garden statue,garden statue,,garden statue,
NAT202402,23475,465,brick,pathway material,pathway material,,pathway material,
NAT202402,23483,466,brick,border edging,border edging,,border edging,
NAT202402,23484,466,brick,pathway material,pathway material,,pathway material,
NAT202402,23514,467,brick,gardenborder,gardenborder,,gardenborder,
NAT202402,23525,468,brick,pathway,pathway,,pathway,
NAT202402,23545,469,brick,garden,garden,,garden,
NAT202402,23558,470,brick,garden border,garden border,,garden border,
NAT202402,23566,470,brick,garden path,garden path,,garden path,
NAT202402,23586,471,brick,paths,paths,,paths,
NAT202402,23594,471,brick,garden edging,garden edging,,garden edging,
NAT202402,23596,471,brick,ornamental feature,ornamental feature,,ornamental feature,
NAT202402,23607,472,brick,pathway material,pathway material,,pathway material,
NAT202402,23608,472,brick,garden edging,garden edging,,garden edging,
NAT202402,23613,472,brick,garden ornament,garden ornament,,garden ornament,
NAT202402,23620,473,brick,garden,garden,,garden,
NAT202402,23621,473,brick,pathway,pathway,,pathway,
NAT202402,23643,474,brick,garden,garden,,garden,
NAT202402,23655,474,brick,pathway,pathway,,pathway,
NAT202402,23661,475,brick,pathway material,pathway material,,pathway material,
NAT202402,23682,476,brick,border edging,border edging,,border edging,
NAT202402,23683,476,brick,pathway,pathway,,pathway,
NAT202402,23684,476,brick,garden wall,garden wall,,garden wall,
NAT202402,23689,476,brick,garden ornament,garden ornament,,garden ornament,
NAT202402,23695,476,brick,garden feature,garden feature,,garden feature,
NAT202402,23703,477,brick,garden border,garden border,,garden border,
NAT202402,23725,478,brick,garden edging,garden edging,,garden edging,
NAT202402,23752,479,brick,garden edging,garden edging,,garden edging,
NAT202402,23758,480,brick,garden edging,garden edging,,garden edging,
NAT202402,23769,480,brick,garden ornament,garden ornament,,garden ornament,
NAT202402,23770,480,brick,pathway material,pathway material,,pathway material,
NAT202402,23772,480,brick,garden feature,garden feature,,garden feature,
NAT202402,23780,481,brick,border for garden,border garden,,border garden,
NAT202402,23799,482,brick,garden border,garden border,,garden border,
NAT202402,23812,482,brick,garden path,garden path,,garden path,
NAT202402,23830,483,brick,pathway material,pathway material,,pathway material,
NAT202402,23834,483,brick,border edging,border edging,,border edging,
NAT202402,23835,483,brick,lawn decoration,lawn decoration,,lawn decoration,
NAT202402,23845,484,brick,garden edging,garden edging,,garden edging,
NAT202402,23881,486,brick,garden edging,garden edging,,garden edging,
NAT202402,23906,487,brick,border for garden,border garden,,border garden,
NAT202402,23907,487,brick,pathway,pathway,,pathway,
NAT202402,23929,488,brick,garden edging,garden edging,,garden edging,
NAT202402,23930,488,brick,pathway material,pathway material,,pathway material,
NAT202402,23938,489,brick,pathway,pathway,,pathway,
NAT202402,23943,489,brick,garden edging,garden edging,,garden edging,
NAT202402,23969,490,brick,pathway,pathway,,pathway,
NAT202402,23971,490,brick,garden edging,garden edging,,garden edging,
NAT202402,24003,492,brick,garden edging,garden edging,,garden edging,
NAT202402,24010,492,brick,landscaping,landscaping,,landscaping,
NAT202402,24018,493,brick,garden,garden,,garden,
NAT202402,24027,493,brick,garden edging,garden edging,,garden edging,
NAT202402,24040,494,brick,garden edging,garden edging,,garden edging,
NAT202402,24069,495,brick,garden path,garden path,,garden path,
NAT202402,22346,409,brick,a brick-and-mortar store,brickandmortar store,,brickandmortar store,
NAT202402,22347,409,brick,a brick-and-mortar school,brickandmortar school,,brickandmortar school,
NAT202402,22348,409,brick,a brick-and-mortar hospital,brickandmortar hospital,,brickandmortar hospital,
NAT202402,22349,409,brick,a brick-and-mortar bank,brickandmortar bank,,brickandmortar bank,
NAT202402,22350,409,brick,a brick-and-mortar restaurant,brickandmortar restaurant,,brickandmortar restaurant,
NAT202402,22351,409,brick,a brick-and-mortar office building,brickandmortar office building,,brickandmortar office building,
NAT202402,22352,409,brick,a brick-and-mortar factory,brickandmortar factory,,brickandmortar factory,
NAT202402,22353,409,brick,a brick-and-mortar warehouse,brickandmortar warehouse,,brickandmortar warehouse,
NAT202402,22354,409,brick,a brick-and-mortar apartment building,brickandmortar apartment building,,brickandmortar apartment building,
NAT202402,22355,409,brick,a brick-and-mortar hotel,brickandmortar hotel,,brickandmortar hotel,
NAT202402,22356,409,brick,a brick-and-mortar museum,brickandmortar museum,,brickandmortar museum,
NAT202402,22357,409,brick,a brick-and-mortar library,brickandmortar library,,brickandmortar library,
NAT202402,22358,409,brick,a brick-and-mortar theater,brickandmortar theater,,brickandmortar theater,
NAT202402,22359,409,brick,a brick-and-mortar concert hall,brickandmortar concert hall,,brickandmortar concert hall,
NAT202402,22360,409,brick,a brick-and-mortar sports stadium,brickandmortar sports stadium,,brickandmortar sports stadium,
NAT202402,22361,409,brick,a brick-and-mortar church,brickandmortar church,,brickandmortar church,
NAT202402,22362,409,brick,a brick-and-mortar synagogue,brickandmortar synagogue,,brickandmortar synagogue,
NAT202402,22786,431,brick,brick-and-mortar,brickandmortar,,brickandmortar,
NAT202402,22800,431,brick,brick-and-mortar,brickandmortar,,brickandmortar,
NAT202402,22802,431,brick,brick-and-mortar,brickandmortar,,brickandmortar,
NAT202402,22969,440,brick,brick-and-mortar stores,brickandmortar stores,,brickandmortar stores,
NAT202402,22977,440,brick,brick-and-mortar university,brickandmortar university,,brickandmortar university,
NAT202402,14306,1,brick,fort,fort,,fort,
NAT202402,14325,2,brick,fort,fort,,fort,
NAT202402,14344,3,brick,fort,fort,,fort,
NAT202402,14363,4,brick,fort,fort,,fort,
NAT202402,14382,5,brick,fort,fort,,fort,
NAT202402,14574,15,brick,masonry,masonry,,masonry,
NAT202402,14603,17,brick,brickbat,brickbat,,brickbat,
NAT202402,14659,20,brick,brick wall,wall,,wall,
NAT202402,14661,20,brick,brick house,house,,house,
NAT202402,14671,20,brick,brick bridge,bridge,,bridge,
NAT202402,14700,22,brick,brickbat,brickbat,,brickbat,
NAT202402,14701,22,brick,brick wall,wall,,wall,
NAT202402,14706,22,brick,brick mould,mould,,mould,
NAT202402,14709,22,brick,brick bridge,bridge,,bridge,
NAT202402,14725,23,brick,insulator,insulator,,insulator,
NAT202402,14726,23,brick,brickbat,brickbat,,brickbat,
NAT202402,14728,23,brick,masonry,masonry,,masonry,
NAT202402,14739,24,brick,wall,wall,,wall,
NAT202402,14767,25,brick,fort,fort,,fort,
NAT202402,14768,25,brick,wall,wall,,wall,
NAT202402,14769,25,brick,masonry,masonry,,masonry,
NAT202402,14818,28,brick,masonry,masonry,,masonry,
NAT202402,14827,28,brick,fortification,fortification,,fortification,
NAT202402,14828,28,brick,foundation,foundation,,foundation,
NAT202402,34030,29,brick,monument,monument,,monument,
NAT202402,14845,29,brick,memorial,memorial,,memorial,
NAT202402,14862,30,brick,insulation,insulation,,insulation,
NAT202402,14865,30,brick,brick wall,wall,,wall,
NAT202402,14878,31,brick,mason,mason,,mason,
NAT202402,14884,31,brick,lego,lego,,lego,
NAT202402,14905,32,brick,fort,fort,,fort,
NAT202402,14914,33,brick,brick wall,wall,,wall,
NAT202402,14922,33,brick,scaffolding,scaffolding,,scaffolding,
NAT202402,14940,34,brick,fort,fort,,fort,
NAT202402,14942,34,brick,wall,wall,,wall,
NAT202402,14945,34,brick,modelling material,modelling material,,modelling material,
NAT202402,14961,35,brick,material in architecture,material architecture,,material architecture,
NAT202402,14966,35,brick,part of wall,part wall,,part wall,
NAT202402,14967,35,brick,material in pottery,material pottery,,material pottery,
NAT202402,14977,36,brick,marker,marker,,marker,
NAT202402,14981,36,brick,insulation,insulation,,insulation,
NAT202402,14994,37,brick,monument,monument,,monument,
NAT202402,15036,39,brick,brick wall,wall,,wall,
NAT202402,15040,39,brick,arch,arch,,arch,
NAT202402,15046,40,brick,wall material,wall material,,wall material,
NAT202402,15054,40,brick,fort,fort,,fort,
NAT202402,15056,40,brick,bridge,bridge,,bridge,
NAT202402,15064,40,brick,monument,monument,,monument,
NAT202402,15077,41,brick,wall,wall,,wall,
NAT202402,15082,41,brick,quarrying,quarrying,,quarrying,
NAT202402,15113,43,brick,lego block,lego block,,lego block,
NAT202402,15123,43,brick,wall,wall,,wall,
NAT202402,15161,45,brick,furniture base,furniture base,,furniture base,
NAT202402,15218,48,brick,marker,marker,,marker,
NAT202402,15237,49,brick,coloring block,coloring block,,coloring block,
NAT202402,15250,50,brick,fort,fort,,fort,
NAT202402,15254,50,brick,bridge,bridge,,bridge,
NAT202402,15269,51,brick,fort,fort,,fort,
NAT202402,15274,51,brick,modelling material,modelling material,,modelling material,
NAT202402,15279,51,brick,time marker,time marker,,time marker,
NAT202402,15308,53,brick,fort,fort,,fort,
NAT202402,15316,53,brick,memorial,memorial,,memorial,
NAT202402,15328,54,brick,headstone,headstone,,headstone,
NAT202402,34031,55,brick,replica,replica,,replica,
NAT202402,15341,55,brick,model,model,,model,
NAT202402,16504,116,brick,soundproofing,soundproofing,,soundproofing,
NAT202402,16509,116,brick,retaining wall,retaining wall,,retaining wall,
NAT202402,16526,117,brick,soundproofing,soundproofing,,soundproofing,
NAT202402,16528,117,brick,retaining wall,retaining wall,,retaining wall,
NAT202402,16569,119,brick,sound barrier,sound barrier,,sound barrier,
NAT202402,16627,122,brick,sound barrier,sound barrier,,sound barrier,
NAT202402,16671,124,brick,architectural model,architectural model,,architectural model,
NAT202402,16726,127,brick,retaining wall,retaining wall,,retaining wall,
NAT202402,16749,128,brick,soundproofing,soundproofing,,soundproofing,
NAT202402,16768,129,brick,soundproofing,soundproofing,,soundproofing,
NAT202402,16841,133,brick,insulation,insulation,,insulation,
NAT202402,16842,133,brick,soundproofing,soundproofing,,soundproofing,
NAT202402,16849,133,brick,retaining wall,retaining wall,,retaining wall,
NAT202402,16866,134,brick,sound barrier,sound barrier,,sound barrier,
NAT202402,16882,135,brick,retaining wall,retaining wall,,retaining wall,
NAT202402,16946,138,brick,natural insulation,natural insulation,,natural insulation,
NAT202402,16980,140,brick,retaining wall,retaining wall,,retaining wall,
NAT202402,16989,140,brick,sound barrier,sound barrier,,sound barrier,
NAT202402,17002,141,brick,soundproofing,soundproofing,,soundproofing,
NAT202402,17007,141,brick,retaining wall,retaining wall,,retaining wall,
NAT202402,17033,143,brick,wall,wall,,wall,
NAT202402,17083,145,brick,retaining wall,retaining wall,,retaining wall,
NAT202402,17099,146,brick,reinforce riverbank,reinforce riverbank,,reinforce riverbank,
NAT202402,17104,146,brick,build a retaining wall,build retaining wall,,build retaining wall,
NAT202402,17105,146,brick,build a fort,build fort,,build fort,
NAT202402,17123,147,brick,retaining wall,retaining wall,,retaining wall,
NAT202402,17201,151,brick,plant marker,plant marker,,plant marker,
NAT202402,17211,152,brick,foundation,foundation,,foundation,
NAT202402,17215,152,brick,arched bridge,arched bridge,,arched bridge,
NAT202402,17217,152,brick,retaining wall,retaining wall,,retaining wall,
NAT202402,17243,153,brick,insulation,insulation,,insulation,
NAT202402,17271,155,brick,architectural element,architectural element,,architectural element,
NAT202402,17272,155,brick,building material,building material,,building material,
NAT202402,17296,156,brick,retaining wall,retaining wall,,retaining wall,
NAT202402,17310,157,brick,fortress,fortress,,fortress,
NAT202402,17344,158,brick,defensive wall,defensive wall,,defensive wall,
NAT202402,17421,162,brick,base for sculptures,base sculptures,,base sculptures,
NAT202402,17442,163,brick,sound barrier,sound barrier,,sound barrier,
NAT202402,17485,165,brick,house foundation,house foundation,,house foundation,
NAT202402,18164,200,brick,wall,wall,,wall,
NAT202402,18172,200,brick,arch,arch,,arch,
NAT202402,18179,200,brick,wall,wall,,wall,
NAT202402,18184,201,brick,wall,wall,,wall,
NAT202402,18224,203,brick,building material,building material,,building material,
NAT202402,18225,203,brick,wall,wall,,wall,
NAT202402,18321,207,brick,foundation,foundation,,foundation,
NAT202402,18324,208,brick,building,building,,building,
NAT202402,18364,210,brick,walls,walls,,walls,
NAT202402,18391,211,brick,building block,building block,,building block,
NAT202402,18404,212,brick,building,building,,building,
NAT202402,18412,212,brick,pillar,pillar,,pillar,
NAT202402,18420,212,brick,fort,fort,,fort,
NAT202402,18444,214,brick,construction material,construction material,,construction material,
NAT202402,18484,216,brick,wall,wall,,wall,
NAT202402,18485,216,brick,house,house,,house,
NAT202402,18492,216,brick,building block,building block,,building block,
NAT202402,18501,216,brick,castle,castle,,castle,
NAT202402,18512,217,brick,bridge,bridge,,bridge,
NAT202402,18530,218,brick,fort,fort,,fort,
NAT202402,18574,220,brick,war memorial,war memorial,,war memorial,
NAT202402,18577,220,brick,house number,house number,,house number,
NAT202402,18587,221,brick,garden path marker,garden path marker,,garden path marker,
NAT202402,18600,221,brick,foundation for model buildings,foundation model buildings,,foundation model buildings,
NAT202402,18607,222,brick,garden path marker,garden path marker,,garden path marker,
NAT202402,18622,222,brick,historical teaching tool,historical teaching tool,,historical teaching tool,
NAT202402,18642,223,brick,foundation for sculptures,foundation sculptures,,foundation sculptures,
NAT202402,18647,224,brick,garden path marker,garden path marker,,garden path marker,
NAT202402,18706,227,brick,garden path marker,garden path marker,,garden path marker,
NAT202402,18717,227,brick,historical teaching tool,historical teaching tool,,historical teaching tool,
NAT202402,18720,227,brick,structural model building,structural model building,,structural model building,
NAT202402,18747,229,brick,garden path marker,garden path marker,,garden path marker,
NAT202402,18767,230,brick,garden path marker,garden path marker,,garden path marker,
NAT202402,18782,230,brick,historical teaching tool,historical teaching tool,,historical teaching tool,
NAT202402,18802,231,brick,craft project base,craft project base,,craft project base,
NAT202402,18807,232,brick,garden path marker,garden path marker,,garden path marker,
NAT202402,18816,232,brick,foundation for outdoor structures,foundation outdoor structures,,foundation outdoor structures,
NAT202402,18818,232,brick,historical teaching tool,historical teaching tool,,historical teaching tool,
NAT202402,18827,233,brick,garden path marker,garden path marker,,garden path marker,
NAT202402,18841,233,brick,building ruins for models,building ruins models,,building ruins models,
NAT202402,18842,233,brick,historical teaching tool,historical teaching tool,,historical teaching tool,
NAT202402,18860,234,brick,historical teaching tool,historical teaching tool,,historical teaching tool,
NAT202402,18920,237,brick,historical teaching tool,historical teaching tool,,historical teaching tool,
NAT202402,18962,239,brick,building ruins for model landscapes,building ruins model landscapes,,building ruins model landscapes,
NAT202402,18982,240,brick,historical teaching tool,historical teaching tool,,historical teaching tool,
NAT202402,18987,241,brick,garden path marker,garden path marker,,garden path marker,
NAT202402,18997,241,brick,historical teaching tool,historical teaching tool,,historical teaching tool,
NAT202402,19006,242,brick,garden path marker,garden path marker,,garden path marker,
